#,Internal Name,Name,Phone,Fax,After Hrs Phone,Address,City,County,State,Zip,Operations Manager,Operations Manager2,Kids' Dentistry OM,RM,RD,SRM,SRM,SRM,SRD,SRD,RP/RVP,TP,Region Name,Professional Corporation,Tax ID,Open Date,Epic Go Live Date
1006,Buckeye 3,Buckeye Modern Dentistry,(623)267-4676,(623)505-1128,(623)505-1128,"946 S Watson Rd, Ste 101",Buckeye,Maricopa,AZ,85326,,Claudia Bueno,,Tracy Kaus,,Jaycee Campbell,,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Buckeye Modern Dentistry, LLP",87-3741873,8/1/2022,7/31/2022
1007,Buckeye 4,Valencia Modern Dentistry,(602)325-5436,(602)814-0957,,"19591 W Indian School Rd, Ste 101",Buckeye,Maricopa,AZ,85396,Janelle Howell,,,Tracy Kaus,,Jaycee Campbell,,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Valencia Modern Dentistry, LLP",99-3100775,8/13/2024,12/4/2023
1008,Boca Raton 1,Dentists of Boca Village,(561)571-7108,(561)584-8162,,"21200 St. Andrews Blvd., Units 15 & 17",Boca Raton,Palm Beach,FL,33433,Jorge Orejuela,,,Salvador Rodriguez,,Armando Borroel,,,,,Daris Hondoy,Jacob Kramer,South Florida Region,"Dentists of Boca Village, PA",88-1137804,6/28/2022,6/27/2022
1009,Murfreesboro 4,Dentists of Barfield,(615)682-1540,(615)234-4007,,"3415 S Church St, Ste C & D",Murfreesboro,Rutherford,TN,37127,Amy McCullough,,,,Venissa Fowler,,,,,,Jack Knudsen,Jacob Kramer,Tennessee Region,"Dentists of Barfield, PC",99-1265860,7/16/2024,1/8/2024
1010,Rancho Cordova 3,Anatolia Dental Group,(916)877-7626,(916)885-1414,(341)587-7626,"4011 Sunrise Blvd, Ste B",Rancho Cordova,Sacramento,CA,95742,,,,Tania Ruiz,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,KIRANDEEP PINKY DENTAL CORPORATION,92-3106764,12/18/2023,8/7/2023
1011,Las Vegas 19,Grand Canyon Modern Dentistry,(702)800-5711,(702)832-5772,,"9560 W Skye Canyon Park Dr., Ste 100",Las Vegas,Clark,NV,89166,Elizabeth Vogt,,,Brandon Kaecker,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,North Las Vegas Region,"Shahrestani Grand Canyon Modern Dentistry, PC",99-2647961,7/23/2024,12/4/2023
1012,Katy 6,The Dental Office of Katy,(281)241-6735,(281)886-8955,,"22219 FM 529, Ste 103",Katy,Harris,TX,77493,Juliette Ohmer-Guerra,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Dental Office of Katy, PC",99-5042363,12/31/2024,
1013,Chula Vista 4,South Bay Modern Dentistry,(619)371-4909,(619)419-0134,,57 N Broadway,Chula Vista,San Diego,CA,91910,Tony Pozsgay,,,Katie Bezler,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Elias Dental Corporation,88-3925283,11/22/2022,11/21/2022
1015,Aurora 9,Dentists of Buckley,(303)418-4935,(303)301-9976,,"440 South Airport Blvd., Ste 180",Aurora,Arapahoe,CO,80017,Sondra Herrera,,,Jeff McGrew,,Caitlin Kenna,Alisha Taylor,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Dentists of Buckley, LLP",99-4714600,2/4/2025,3/4/2024
1016,Oak Park Heights 1,Stillwater Modern Dentistry,(651)352-4629,(651)359-2835,,13331 60th St. N.,Oak Park Heights,Washington,MN,55082,Tanya Casavant,,,Stacey Conner,,Nicole Schuette,,,,,Shyanne Boike,Stephanie Wootan,Minnesota Region,"Stillwater Modern Dentistry, PC",92-1950958,4/10/2023,4/9/2023
1017,Springfield 2,Springfield Modern Dentistry,(571)350-3556,(571)290-4715,,8404 Old Keene Mill Rd,Springfield,Fairfax City,VA,22152,Annette Brown,,,Nikkia Bratton,,Brian Kapur,,,,,Joe Taylor,Jacob Kramer,Virginia Maryland Region,"Springfield Modern Dentistry, PC",88-3679500,3/21/2023,3/20/2023
1019,Colorado Springs 8,Dentists of Centennial,(719)867-4025,(719)867-4492,,"3267 Centennial Blvd, Ste 150",Colorado Springs,El Paso,CO,80907,Alexandra Willoughby,,,Dave Donohoue,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,Stephanie Ross,Stephanie Wootan,Southern Colorado Region,DENTISTS OF CENTENNIAL AND ORTHODONTICS,93-4838514,7/9/2024,12/27/2023
1020,Leesburg 1,Leesburg Modern Dentistry,(571)899-4713,(571)982-7616,,502 E Market St,Leesburg,Loudoun,VA,20176,,,,Joe Taylor,,Brian Kapur,,,,,Joe Taylor,Jacob Kramer,Virginia Maryland Region,"Leesburg Modern Dentistry, PC",88-3629609,1/10/2023,1/9/2023
1021,Clarksville 3,Trenton Dental Group,(931)236-4505,(931)284-4210,,"2298 Trenton Rd, Ste 101",Clarksville,Montgomery,TN,37040,Ashley Mitchell,,,Karlee Lewis,,Brandon Stegall,,,,,Jack Knudsen,Jacob Kramer,Tennessee Region,"Trenton Dental Group, PC",92-2339867,5/16/2023,5/15/2023
1022,Las Vegas 20,Queensridge Modern Dentistry,(702)425-3060,(702)425-3028,,"10040 Alta Dr, Ste 100",Las Vegas,Clark,NV,89144,Seth Chhay,,,Frederica Mack,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,"Luckoor Queensridge Modern Dentistry, PC",88-4186165,4/4/2023,4/3/2023
1023,Las Vegas HC 20,PDS Medical Group Queensridge,(702)960-0689,(702)960-1561,,"10040 Alta Dr, Ste 100B",Las Vegas,Clark,NV,89144,Perla Holguin,,,Lauren McPherson,Moawyah Arikat,,,,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,Queensridge Health Care,,4/4/2023,4/3/2023
1024,Watertown 1,Arsenal Modern Dentistry,(857)263-3895,(857)264-2540,,515 Arsenal St,Watertown,Middlesex,MA,2472,Brian Negrete,,,Meghan Flynn,,,,,,,Jerilyn Riley,Jacob Kramer,Massachusetts Region,"Arsenal Modern Dentistry, PC",93-1574518,8/1/2023,7/31/2023
1026,Arvada 3,Dentists of Arvada,(303)301-1369,(303)301-9994,,"15209 Candelas Pkwy, Ste 102",Arvada,Jefferson,CO,80007,,,,Noelle Robison,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,Stephanie Ross,Stephanie Wootan,Northern Colorado Region,"DENTISTS OF ARVADA, LLP",93-4818722,4/9/2024,3/4/2024
1027,Seattle 6,Capitol Hill Dental Group,(206)785-1327,(206)788-8554,,"1732 Broadway, Ste 101",Seattle,King,WA,98122,Travis Ivy,,,Brittany Love,,Ashley Williams,,,,,Luis Gomez,Nicholas D'Amico,Washington Region,"Washington Dental Corporation, PC",46-3111392,12/29/2022,12/28/2022
1028,Moncks Corner 1,Moncks Corner Dental Group,(843)990-4715,(843)996-1812,,"2830 Hwy 52, Ste 360",Moncks Corner,Berkeley,SC,29461,Adonis Jenkins,,,,John Mezick,Crystal Richardson,,,,,Brian Taylor,Jacob Kramer,Carolinas Region,"Moncks Corner Dental Group, PC",92-1947844,4/18/2023,4/17/2023
1029,Charleston 1,Dentists of West Ashley,(843)213-6881,(843)277-1971,,"1149 Savannah Hwy, Ste 305",Charleston,Charleston,SC,29407,Chanti Garrett,,,,John Mezick,Crystal Richardson,,,,,Brian Taylor,Jacob Kramer,Carolinas Region,"Dentists of West Ashley, PC",99-1022811,6/25/2024,5/6/2024
1030,Covington 1,Covington Dental Group,(985)718-1439,(985)918-5583,,"509 N Hwy 190, Ste 100",Covington,Saint Tammany,LA,70433,Gina Mitchell,,,Melissa Ledet,,,,,,,Jonathan Snyder,Nicole Brown,Louisiana Region,"Jacob Dent, D.D.S., Covington Dental Group, a Professional Corporation",93-2736064,10/30/2023,9/4/2023
1032,Magnolia 1,Dentists of Magnolia,(832)476-1310,(832)497-5260,,"13381 FM 1488, Ste 106",Magnolia,Montgomery,TX,77354,Tamra Dandridge,,,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Dentists of Magnolia, PC",93-3869977,12/19/2023,8/7/2023
1033,Mt. Juliet 2,Mt. Juliet Modern Dentistry,(615)716-1653,(615)866-0615,,"600 S. Mount Juliet Rd, Ste #3",Mount Juliet,Wilson,TN,37122,Kayla Turnbow,,,Karlee Lewis,,Brandon Stegall,,,,,Jack Knudsen,Jacob Kramer,Tennessee Region,"Mt Juliet Modern Dentistry, PC",88-2248645,5/9/2023,5/8/2023
1034,Mission Valley 2,Dentists of Mission Valley,(619)573-4889,(619)573-9359,,"575 Camino De La Reina, Ste 100",San Diego,San Diego,CA,92108,Elsie Lopez,,,Jennifer Johnson,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,CHILMERAN DENTAL CORPORATION,92-3290990,10/3/2023,8/7/2023
1035,Framingham 1,Framingham Modern Dentistry,(508)504-8926,(508)689-5259,,"571 Worcester Rd,, Unit 5",Framingham,Middlesex,MA,1701,Ashlee Dennett,,,Meghan Flynn,,,,,,,Jerilyn Riley,Jacob Kramer,Massachusetts Region,"FRAMINGHAM MODERN DENTISTRY, PC",99-0636307,3/19/2024,9/25/2023
1036,San Diego 12,Mission Gorge Modern Dentistry,(619)272-2271,(619)272-4167,,6101 Mission Gorge Rd,San Diego,San Diego,CA,92120,Bailey Schantz,,,Bianca Ireland,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,AFSHIN HABASHI DDS INC,88-3418347,2/8/2023,2/7/2023
1037,Winchester,The Dental Office of Winchester,(951)335-5169,(951)213-4675,,"32897 Western Hills Dr, Ste 102",Winchester,Riverside,CA,92596,Jessica Quezada,,,Erica Stapleton,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,DENTAL CORPORATION OF KYLE POULSEN,92-3593141,8/13/2024,11/6/2023
1038,Surprise 5,Dentists of Asante,(623)738-0370,(623)707-2715,,"16350 N Pat Tillman Blvd., Ste 120",Surprise,Maricopa,AZ,85387,Dominique Gloria,,,,Jason Merrill,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"DENTISTS OF ASANTE, LLP",93-3725372,11/14/2023,11/13/2023
1039,Rancho Cordova 4,Mather Modern Dentistry,(916)885-4927,(916)885-1424,,"10842 Bear Hollow Dr, Ste 101",Rancho Cordova,Sacramento,CA,95670,,,,Bianca Garcia,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,CASTILLO DENTAL CORPORATION,92-3570601,7/5/2023,7/4/2023
1042,Gaithersburg 1,Gaithersburg Modern Dentistry,(240)801-3138,(240)821-5953,,812 Muddy Branch Rd,Gaithersburg,Montgomery,MD,20878,Durrel Jennings,,,Nikkia Bratton,,Brian Kapur,,,,,Joe Taylor,Jacob Kramer,Virginia Maryland Region,"GAITHERSBURG MODERN DENTISTRY, LLC",93-2331125,3/5/2024,9/5/2023
1044,Sahara HC,PDS Medical Group Sahara,(702)577-9773,(702)577-3260,,"4950 W Sahara Ave, Ste 100 B",Las Vegas,Clark,NV,89146,,Stephanie Garcia,,Lauren McPherson,Moawyah Arikat,,,,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,Sahara Health Group,,4/5/2022,4/4/2022
1045,Davenport 2,Dentists of Davenport,(863)812-4570,(863)812-4219,,2122 Triglia Way,Davenport,Polk,FL,33896,Courtney Wolfe,,,Alexis Chang,,Paige Fichtner,,,,,Ryan Stowasser,Jacob Kramer,Central Florida Region,"DENTISTS OF DAVENPORT, PA",93-4777495,2/27/2024,1/29/2024
1046,Laguna Hills 1,Dentists of Laguna Hills,(949)590-4133,(949)590-4170,,26532 Moulton Pkwy,Laguna Hills,Orange,CA,92653,Sabrina Sedeque,,,Analisa Hudson,,,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,LAKHANI DENTAL CORPORATION,88-3203410,11/22/2022,11/21/2022
1048,Merced 1,Merced Modern Dentistry,(209)284-1321,(209)284-2587,,"3630 G St, Ste C",Merced,Merced,CA,95340,Jose Toledo,,,Nicole McGovran,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Central Valley Region,AVALPREET DANG DENTAL CORPORATION,93-2592616,12/5/2023,9/4/2023
1049,New Caney 1,New Caney Smiles Dentistry,(832)532-9755,(832)532-1276,,"21856 Market Pl Dr,, Ste 400",New Caney,Montgomery,TX,77357,Jonathan Sevilla,,,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"New Caney Smiles Dentistry, PC",93-2477689,10/3/2023,7/31/2023
1050,Scottsdale 7,Dentists on Chaparral,(480)378-6631,(480)351-1664,,"7908 E. Chaparral Rd., Ste 101",Scottsdale,Maricopa,AZ,85250,Andrea Bullard,,,Kayla Martinez,,Jaycee Campbell,Jaycee Campbell,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Dentists on Chaparral, LLP",92-3868058,7/5/2023,7/4/2023
1051,Canoga Park,Dentists of Canoga Park,(818)227-8986,(818)237-4416,,8393 Topanga Canyon Blvd,Canoga Park,Los Angeles,CA,91304,Doll Brown,,,Alex Ranu,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Amber Gilbert Dental Corporation,92-1230580,3/7/2023,3/6/2023
1052,Mesa 6,Mesa Grand Dental Group,(480)576-7378,(480)562-5845,,"1240 E Baseline Rd, Ste 100",Mesa,Maricopa,AZ,85204,Emma Hurley,,,Tia Noreus,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"MESA GRAND KIDS DENTISTRY AND ORTHODONTICS AZ, LLP",88-1511425,12/12/2022,12/11/2022
1053,Montebello 1,Dentists of Montebello,(323)313-1070,(323)244-2769,,892 W Beverly Blvd,Montebello,Los Angeles,CA,90640,Alexis Ortiz,,,,Katherine Novales,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,"Karim Zaklama, D.D.S., Inc",87-3139836,3/7/2023,3/6/2023
1054,Queen Creek 5,Queen Creek Modern Dentistry,(602)730-9795,(602)742-2746,,"25166 S Ellsworth Rd, Ste B107",Queen Creek,Maricopa,AZ,85142,Marisa Reed,,,Kayla Martinez,,Jaycee Campbell,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Queen Creek Modern Dentistry, LLP",99-2920357,7/9/2024,7/31/2023
1055,San Antonio 9,Stevens Ranch Modern Dentistry,(830)219-1378,(830)455-4967,,"14314 Potranco Rd, Ste 109",San Antonio,Bexar,TX,78253,Marie Houghtling,,,Robert Luckado,,Jennifer Tumlinson,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Stevens Ranch Modern Dentistry, PC",93-2187699,11/16/2023,11/6/2023
1056,San Jacinto 2,Dentists of San Jacinto,(951)462-5751,(951)465-2638,,"1221 N. State St, Ste D",San Jacinto,Riverside,CA,92583,Bianca Cova,Brandi Toro,,Karlee Bell,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Justin Namm Dental Corporation,88-3206111,11/2/2022,11/1/2022
1057,Olympia 1,West Olympia Dental Group,(360)483-4765,(360)512-3849,,"1309 Cooper Point Rd SW, Ste 100",Olympia,Thurston,WA,98502,Jamie Coleman,,,Katherine Green,,Ashley Williams,,,,,Luis Gomez,Nicholas D'Amico,Washington Region,"Washington Dental Corporation, PC",46-3111392,9/25/2023,8/7/2023
1058,Boise 2,Emerald Smiles Dentistry,(208)593-3221,(208)595-4568,,"675 N Milwaukee St, Ste 110",Boise,Ada,ID,83704,Andrew Carlisle,,,Karianne Wallace,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Emerald Smiles Dentistry, PC",88-2749229,1/17/2023,1/16/2023
1059,Queen Creek 6,Dentists of Queen Creek,(480)526-5306,(480)525-9641,,"200 W Combs Rd,, Ste 101",Queen Creek,Maricopa,AZ,85140,Brooke Hancock,,,Heather Mata,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Dentists of Queen Creek, LLP",93-2155543,10/17/2023,10/16/2023
1060,Plymouth 1,Plymouth Smiles Dentistry,(763)390-2414,(763)290-6811,,"3405 Vicksburg Lane N, Ste. 120",Plymouth,Hennepin,MN,55447,Bianca Chadha,,,Michael Alwin,,Nicole Schuette,,,,,Shyanne Boike,Stephanie Wootan,Minnesota Region,"PLYMOUTH SMILES DENTISTRY, PA",92-0877622,12/30/2022,12/29/2022
1062,Cincinnati 5,Harper's Dental Group,(513)898-3034,(513)898-3348,,"11397 Montgomery Rd, Ste A",Cincinnati,Hamilton,OH,45249,,,,Kassandra Meyer,,,,,,,Mark Dean,Jacob Kramer,Ohio Kentucky Region,"Kansagra Harper's Dental Group PC, Inc.",99-0637992,2/18/2025,
1069,San Marcos 3,San Marcos Modern Dentistry,(760)688-4753,(760)688-7949,,"675 S. Rancho Santa Fe Rd, Ste A",San Marcos,San Diego,CA,92078,Amy St. Lucas,,,Bianca Ireland,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Dental Corporation of Thanh Tran,93-1557420,8/1/2023,7/31/2023
1070,Gibsonton 1,Dentists at Big Bend,(813)499-9204,(813)499-2569,,"7020 Big Bend Rd, Ste 105",Riverview,Hillsborough,FL,33534,Gabriel Ruiz,,,Courtney Bowling,,Paige Fichtner,,,,,Ryan Stowasser,Jacob Kramer,Central Florida Region,"Dentists at Big Bend, PA",99-4488299,11/12/2024,
1071,Apple Valley 1,Apple Valley Modern Dentistry,(952)248-4411,(952)232-5213,,"15050 Cedar Ave, #119",Apple Valley,Dakota,MN,55124,Manuel Mancha,,,Lou Vang,,Nicole Schuette,,,,,Shyanne Boike,Stephanie Wootan,Minnesota Region,"Apple Valley Modern Dentistry, PC",93-2167104,9/12/2023,12/4/2023
1072,Kissimmee 1,Dentists of Kissimmee,(689)223-5412,(689)273-5917,,2940 N Orange Blossom Trl,Kissimmee,Osceola,FL,34741,,,,Jose Loperena,,,,,,,Ryan Stowasser,Jacob Kramer,Central Florida Region,,,7/15/2025,
1073,Miami 4,North Kendall Dentists,(786)623-5056,(786)693-1787,,12022 S.W. 88th St.,Miami,Miami-Dade,FL,33186,,,,Sofia Endara,,Armando Borroel,,,,,Daris Hondoy,Jacob Kramer,South Florida Region,"North Kendall Dentists, PA",92-2539216,6/5/2023,6/4/2023
1074,Cibolo 1,Cibolo Modern Dentistry,(210)996-2221,(210)384-2039,,"813 Cibolo Valley Dr, Ste 130",Cibolo,Guadalupe,TX,78108,Rheya Carrington,,,Kimberly Gomez,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Cibolo Modern Dentistry, PC",99-2822551,6/11/2024,2/5/2024
1075,Burleson 2,McAlister Dentistry,(817)231-0210,(817)349-2059,,12753 S Fwy,Fort Worth,Johnson,TX,76028,Samantha Flores,,,Holly Redwine,,Amanda Rusk,,,,,Nicole Brown,Nicole Brown,South Dallas Fort Worth Region,"McAlister Dentistry, PC",92-3347095,9/26/2023,7/31/2023
1076,Pittsburg 1,Dentists of Pittsburg,(925)267-8153,(925)262-8548,,4297 Century Blvd,Pittsburg,Contra Costa,CA,94565,Jennifer Castillo,,,Jessica Rubio,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,DILANKUMAR PATEL DENTAL CORPORATION,93-1399085,9/26/2023,9/4/2023
1077,Las Vegas 17,Sunrise Modern Dentistry,(702)359-7318,(702)984-7395,,"6775 E Lake Mead Blvd, Ste B10",Las Vegas,Clark,NV,89156,Avonika Yaffe,,,Amber Breeze,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,North Las Vegas Region,"Shahrestani Sunrise Modern Dentistry, PC",99-0598019,2/14/2024,8/14/2023
1078,Fremont 1,Fremont Hub Dentistry,(510)817-2531,(510)849-6525,,"39025 Fremont Hub, Ste 340",Fremont,Alameda,CA,94538,Madi Jenkins,,,Dallin Caldwell,,Robert Bengtson,Robert Bengtson,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Dental Corporation of Mokbil and Gill,99-2125039,12/17/2024,9/4/2023
1079,Surprise 6,Cotton Lane Dentistry,(623)738-0312,(623)748-0353,,"17200 W Peoria Ave,, Ste 116",Surprise,Maricopa,AZ,85388,Alexandra Guzman,,,Tracy Kaus,,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Cotton Lane Dentistry, LLP",93-2395268,10/3/2023,8/21/2023
1080,Cathedral City 1,Palm Canyon Smiles Dentistry,(760)688-7653,(760)688-7417,,"67760 E. Palm Canyon Dr, Ste 3",Cathedral City,Riverside,CA,92234,Caitlyn Walters,,,Indira Abaza,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,DEWENTER DENTAL CORPORATION,92-3634071,8/2/2023,8/1/2023
1081,Cottage Grove 1,Cottage Grove Smiles Dentistry,(651)352-4628,(651)359-2923,,"7240 E Point Douglas Rd S, Ste 150",Cottage Grove,Washington,MN,55016,Grant Pearson,,,Michael Alwin,,Nicole Schuette,,,,,Shyanne Boike,Stephanie Wootan,Minnesota Region,"Cottage Grove Smiles Dentistry, PC",93-2241627,9/12/2023,9/11/2023
1082,Florence 1,Florence Modern Dentistry,(859)475-0849,(859)475-0847,,"7753 Mall Rd,, Ste E,",Florence,Boone,KY,41042,Julie Lorenzen,,,Greg Winn,,,,,,,Mark Dean,Jacob Kramer,Ohio Kentucky Region,"Florence Modern Dentistry, PLLC",99-0816017,1/28/2025,12/18/2023
1083,Altamonte Springs 1,Altamonte Springs Dental Group,(407)545-5985,(407)545-6616,,"1001 N State Rd 434, Ste 1010",Altamonte Springs,Seminole,FL,32714,Valerie Van Doren,,,Alexis Chang,,Paige Fichtner,,,,,Ryan Stowasser,Jacob Kramer,Central Florida Region,ALTAMONTE SPRINGS DENTAL GROUP PA,93-1709751,11/21/2023,9/25/2023
1084,West Roxbury 1,West Roxbury Modern Dentistry,(857)353-5103,(857)264-2506,,"75 Spring St, Ste 100A",West Roxbury,Suffolk,MA,2132,Natalia Rocha,,,Meghan Flynn,,,,,,,Jerilyn Riley,Jacob Kramer,Massachusetts Region,"West Roxbury Modern Dentistry, PC",93-1973343,9/12/2023,7/31/2023
1085,McKinney 3,Stonebridge Modern Dentistry,(469)899-0625,(469)899-5250,,"8801 Eldorado Pkwy, Ste 300",McKinney,Collin,TX,75070,Heather Jackson,,,Chante Conway,,,,,,,Nicole Brown,Nicole Brown,North Dallas Oklahoma Region,"Stonebridge Modern Dentistry, PC",99-3157623,7/9/2024,6/17/2024
1087,Denver 9,Dentists of Washington Park,(720)780-3026,(720)789-2950,,"300 E Alameda Ave,, Unit C",Denver,Denver,CO,80209,Zach Hayes,,,Sarah Quick,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Dentists of Washington Park, LLP",93-2783251,10/2/2024,10/2/2023
1088,Boynton Beach 3,Boynton Mall Modern Dentistry,(561)210-1883,(561)228-4066,,"701 N Congress Ave, Ste 2B",Boynton Beach,Palm Beach,FL,33426,Tahyana Galindez,,,Dana Olsen,,,,,,,Daris Hondoy,Jacob Kramer,South Florida Region,"BOYNTON BEACH MODERN DENTISTRY, PA",99-0922619,12/3/2024,3/4/2024
1089,Austin 5,Dentists of Belterra,(512)957-0079,(512)765-9185,,"13341 W US 290, Ste 1102",Austin,Hays,TX,78737,Lorelei Newman,,,Robert Luckado,,,,,,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Dentists of Belterra and Orthodontics, PC",33-3098432,4/8/2025,
1090,Henderson 11,Henderson Kids’ Dentistry,(702)558-8543,(702)673-1119,,"382 W Lake Mead Pkwy, Ste 130",Henderson,Clark,NV,89015,Christina Lopez,,Christina Lopez,Mounu Nakayama,,Mechelle Quinories,Tiffany Magana,Nichelle Venable,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,"KIM HENDERSON KIDS DENTISTRY, PC",93-1356377,8/1/2023,7/31/2023
1091,Tucson 11,Dentists on Tanque Verde,(520)542-3448,(520)542-3929,,9085 E Tanque Verde Rd,Tucson,Pima,AZ,85749,Sarah Manzano,,,Racheal Stottern,,Jaycee Campbell,Jaycee Campbell,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Dentists On Tanque Verde, LLP",99-4097934,10/1/2024,9/4/2023
1092,Henderson 12,Dentists of Henderson,(702)420-2467,(702)425-9976,,10 E. Horizon Rdg Pkwy,Henderson,Clark,NV,89002,Kiki Washington,,,Amber Breeze,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,"JUN DENTISTS OF HENDERSON, PC",92-3982534,7/18/2023,7/17/2023
1093,Davis 2,Dentists of Davis,(530)338-3358,(530)338-3369,,"4625 Second St,, Ste 100",Davis,Yolo,CA,95618,Zulema Garcia,,,Christy Newton-Melson,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,MAK AND VICUNA DENTAL CORPORATION,93-3167692,6/11/2024,11/6/2023
1094,Woodland 2,Dentists of Woodland,(530)394-6252,(530)362-4051,,"1450 E. Main St, Ste 100",Woodland,Yolo,CA,95776,Teresita Gutierrez,,,Christy Newton-Melson,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Macchiarella and Gill Dental Corporation,99-2301616,6/4/2024,1/1/2024
1095,Hixson 1,Hixson Modern Dentistry,,,,"5943 Hixson Pike, Ste 123",Hixson,Hamilton,TN,37343,,,,,,,,,,,Jack Knudsen,Jacob Kramer,Tennessee Region,,,7/21/2026,
1096,Shadow Mountain 1 HC,PDS Medical Group Shadow Mountain,(702)979-5903,(702)984-7315,,"6525 N Decatur Blvd, Ste 150 B",Las Vegas,Clark,NV,89131,Perla Holguin,,,Lauren McPherson,Moawyah Arikat,,,,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,Shadow Mountain Health Group,,2/21/2023,2/20/2023
1097,Harvey 1,Westbank Dentistry,(504)208-2904,(504)208-3782,,"929 Manhattan Blvd, Ste #D",Harvey,Jefferson Davis Parish,LA,70058,Ari'yana Gibson,,,Melissa Ledet,,,,,,,Jonathan Snyder,Nicole Brown,Louisiana Region,"Jacob Dent, D.D.S., Westbank Dentistry, a Professional Corporation",93-3134284,12/19/2023,10/23/2023
1098,Moreno Valley 3,Moreno Valley Modern Dentistry,(951)220-6980,(951)465-2634,,"24119 Hemlock Ave, Ste 108",Moreno Valley,Riverside,CA,92557,Natalie Suemmy Macias Sigala,,,Kimberly Orozco,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Mylad Dental Corporation,93-2952461,12/12/2023,7/31/2023
1099,Garden Grove 1,Garden Grove Modern Dentistry,(714)788-5547,(714)689-4954,,9842 Chapman Ave,Garden Grove,Orange,CA,92841,Alvaro Cornejo,,,Lani Holt,,,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Dental Corporation of Minh Nguyen,99-4521613,12/18/2024,7/1/2024
